ser,soy,eres,es,somos,sois,son
haber,he,has,ha,hemos,habeis,han
estar,estoy,estas,esta,estamos,estais,estan
tener,tengo,tienes,tiene,tenemos,teneis,tienen
hacer,hago,hazes,haze,hazemos,hazeis,hazen
poder,puedo,puedes,puede,podemos,podeis,pueden
decir,digo,dizes,dize,dezimos,dezis,dizen
ir,voy,vas,va,vamos,vais,van
ver,veo,ves,ve,vemos,veis,ven
dar,doy,das,da,damos,dais,dan
saber,se,sabes,sabe,sabemos,sabeis,saben
querer,kiero,kieres,kiere,keremos,kereis,kieren
llegar,Lego,Legas,Lega,Legamos,Legais,Legan
pasar,paso,pasas,pasa,pasamos,pasais,pasan
deber,debo,debes,debe,debemos,debeis,deben
poner,pongo,pones,pone,ponemos,poneis,ponen
parecer,parezko,parezes,pareze,parezemos,parezeis,parezen
quedar,kedo,kedas,keda,kedamos,kedais,kedan
creer,creo,crees,cree,creemos,creeis,creen
hablar,hablo,hablas,habla,hablamos,hablais,hablan
llevar,Levo,Levas,Leva,Levamos,Levais,Levan
dejar,dejo,dejas,deja,dejamos,dejais,dejan
seguir,sigo,siges,sige,segimos,segis,sigen
encontrar,enkuentro,enkuentras,enkuentra,enkontramos,enkontrais,enkuentran
llamar,Lamo,Lamas,Lama,Lamamos,Lamais,Laman
venir,vengo,vienes,viene,venimos,venis,vienen
pensar,pienso,piensas,piensa,pensamos,pensais,piensan
salir,salgo,sales,sale,salimos,salis,salen
volver,vuelvo,vuelves,vuelve,volvemos,volveis,vuelven
tomar,tomo,tomas,toma,tomamos,tomais,toman
conocer,konozko,konozes,konoze,konozemos,konozeis,konozen
vivir,vivo,vives,vive,vivimos,vivis,viven
sentir,siento,sientes,siente,sentimos,sentis,sienten
tratar,trato,tratas,trata,tratamos,tratais,tratan
mirar,miro,miras,mira,miramos,mirais,miran
contar,kuento,kuentas,kuenta,kontamos,kontais,kuentan
empezar,empiezo,empiezas,empieza,empezamos,empezais,empiezan
esperar,espero,esperas,espera,esperamos,esperais,esperan
buscar,busko,buskas,buska,buskamos,buskais,buskan
existir,eksisto,eksistes,eksiste,eksistimos,eksistis,eksisten
entrar,entro,entras,entra,entramos,entrais,entran
trabajar,trabajo,trabajas,trabaja,trabajamos,trabajais,trabajan
escribir,escribo,escribes,escribe,escribimos,escribis,escriben
perder,pierdo,pierdes,pierde,perdemos,perdeis,pierden
producir,produzko,produzes,produze,produzimos,produzis,produzen
ocurrir,okuRo,okuRes,okuRe,okuRimos,okuRis,okuRen
entender,entiendo,entiendes,entiende,entendemos,entendeis,entienden
pedir,pido,pides,pide,pedimos,pedis,piden
recibir,Rezibo,Rezibes,Rezibe,Rezibimos,Rezibis,Reziben
recordar,Rekuerdo,Rekuerdas,Rekuerda,Rekordamos,Rekordais,Rekuerdan
terminar,termino,terminas,termina,terminamos,terminais,terminan
permitir,permito,permites,permite,permitimos,permitis,permiten
aparecer,aparezko,aparezes,apareze,aparezemos,aparezeis,aparezen
conseguir,konsigo,konsiges,konsige,konsegimos,konsegis,konsigen
comenzar,komienzo,komienzas,komienza,komenzamos,komenzais,komienzan
servir,sirvo,sirves,sirve,servimos,servis,sirven
sacar,sako,sakas,saka,sakamos,sakais,sakan
necesitar,nezesito,nezesitas,nezesita,nezesitamos,nezesitais,nezesitan
mantener,mantengo,mantienes,mantiene,mantenemos,manteneis,mantienen
resultar,Resulto,Resultas,Resulta,Resultamos,Resultais,Resultan
leer,leo,lees,lee,leemos,leeis,leen
caer,kaigo,kaes,kae,kaemos,kaeis,kaen
cambiar,kambio,kambias,kambia,kambiamos,kambiais,kambian
presentar,presento,presentas,presenta,presentamos,presentais,presentan
crear,creo,creas,crea,creamos,creais,crean
abrir,abro,abres,abre,abrimos,abris,abren
considerar,konsidero,konsideras,konsidera,konsideramos,konsiderais,konsideran
oir,oigo,oyes,oye,oimos,ois,oyen
acabar,akabo,akabas,akaba,akabamos,akabais,akaban
convertir,konvierto,konviertes,konvierte,konvertimos,konvertis,konvierten
ganar,gano,ganas,gana,ganamos,ganais,ganan
formar,formo,formas,forma,formamos,formais,forman
traer,traigo,traes,trae,traemos,traeis,traen
partir,parto,partes,parte,partimos,partis,parten
morir,muero,mueres,muere,morimos,moris,mueren
aceptar,azepto,azeptas,azepta,azeptamos,azeptais,azeptan
realizar,Realizo,Realizas,Realiza,Realizamos,Realizais,Realizan
suponer,supongo,supones,supone,suponemos,suponeis,suponen
comprender,komprendo,komprendes,komprende,komprendemos,komprendeis,komprenden
lograr,logro,logras,logra,logramos,lograis,logran
explicar,ekspliko,eksplikas,eksplika,eksplikamos,eksplikais,eksplikan
preguntar,pregunto,preguntas,pregunta,preguntamos,preguntais,preguntan
tocar,toko,tokas,toka,tokamos,tokais,tokan
reconocer,Rekonozko,Rekonozes,Rekonoze,Rekonozemos,Rekonozeis,Rekonozen
estudiar,estudio,estudias,estudia,estudiamos,estudiais,estudian
alcanzar,alkanzo,alkanzas,alkanza,alkanzamos,alkanzais,alkanzan
nacer,nazko,nazes,naze,nazemos,nazeis,nazen
dirigir,dirijo,diriHes,diriHe,diriHimos,diriHis,diriHen
correr,koRo,koRes,koRe,koRemos,koReis,koRen
utilizar,utilizo,utilizas,utiliza,utilizamos,utilizais,utilizan
pagar,pago,pagas,paga,pagamos,pagais,pagan
ayudar,ayudo,ayudas,ayuda,ayudamos,ayudais,ayudan
gustar,gusto,gustas,gusta,gustamos,gustais,gustan
jugar,juego,juegas,juega,jugamos,jugais,juegan
escuchar,eskucho,eskuchas,eskucha,eskuchamos,eskuchais,eskuchan
cumplir,kumplo,kumples,kumple,kumplimos,kumplis,kumplen
ofrecer,ofrezko,ofrezes,ofreze,ofrezemos,ofrezeis,ofrezen
descubrir,deskubro,deskubres,deskubre,deskubrimos,deskubris,deskubren
levantar,levanto,levantas,levanta,levantamos,levantais,levantan
intentar,intento,intentas,intenta,intentamos,intentais,intentan
usar,uso,usas,usa,usamos,usais,usan
decidir,dezido,dezides,dezide,dezidimos,dezidis,deziden
repetir,Repito,Repites,Repite,Repetimos,Repetis,Repiten
